userName,content,score,at
Awat Mahm,ممتاز,5,2025-07-27 08:05:47
Adham Obedie,Gut danke schön,5,2025-07-27 08:02:53
Motaz Ahmed,اصبح تطبيق اوبر فى مقدمه جميه التطبيقات المشابهه له لقد اصبح بالفعل تطبيق فى منتهى الروعه من حيث المصداقيه والأسعار,5,2025-07-27 07:58:03
Felex Mh,للاسف التطبيق بقى اقل من المتوقع كباتن كتير سيئين للغاية مفيش تكييف مفيش رحلات كريديت الا النسبة القليلة المحترمة الملتزمة بتعليمات وشروط اوبر,1,2025-07-27 07:53:08
shosh shosh,ممتاز,5,2025-07-27 07:33:08
ام مهند الاودن,نرجو اضافة سيارات كبيرة للتوصيل للمطار و اختيار الركاب بما يناسبه,4,2025-07-27 07:11:36
لول لول,التطبيق ممتاز واااضح سهل الاستخدام,5,2025-07-27 07:05:10
Roka Sadek,ممتاز,5,2025-07-27 06:46:42
Samira Shehata,ممتاز جدا,5,2025-07-27 06:27:29
محمد جوحلي,قياده ممتازه وجوده كويسه,5,2025-07-27 06:09:24
Eslam Mekky,السائقون دائما يقوموا بالالغاء بعد قبول الطلب,1,2025-07-27 05:52:36
Khaled Al-attar,ممتاز جدا,5,2025-07-27 05:52:31
Elsayed Abdel Azim,خدمات ممتازة وبرنامج اكثر من رائع,5,2025-07-27 04:20:48
Ali 29,حجزت اوبر وكان مكتوب سعره ب 10 ريال يوم وصلت غيرو السعر وصار 13,1,2025-07-27 04:17:10
ali mohmed,مواعيد دقيقة,4,2025-07-27 04:16:09
Sho Zak,اولا...التطبيق بطئ الاستجابة نظرا لكثرة التحديثات التى اوصلته الى اكثر 750 ميجا المطلوب تبسيط و تصغير حجم البرنامج ليشغل مساحة اقل على الجهاز مما يجعله خفيف و اسرع فى الاستجابة ثانيا...كل السائقين الان يوافقون على رحلات جديدة قبل الانتهاء من رحلاتهم القائمين بها بالفعل مما يزيد مدة الانتظار للعميل المطلوب انهاء و اقفال جميع الرحلات الحالية للسائق شرط لقبول قيامه برحلة جديدة مما يظهر زمن الانتظار الفعلى للعميل ثالثا...الاجرة المتوقعة تكون هى الاجرة الفعلية لعدم تسبب مفاجأة او احراج للعميل اوبرمصر,1,2025-07-27 04:02:09
Mohmedhosin Hosin,ممتازة,5,2025-07-27 03:11:15
Yasser deif,خدمة جيدة جدا,5,2025-07-27 02:25:57
ام يس احمد,تجربه ممتازه جدا سواق موهذب,5,2025-07-27 02:09:10
محمد الطريفي (‪ABU ZIDAN‬‏),اصلي,5,2025-07-27 01:59:25
Aftkar A,خدمه ممتازه جدا جدا جدا,5,2025-07-27 00:47:51
k,ممتاز,5,2025-07-27 00:47:38
الفنان محمد السليماني,ممتاز,5,2025-07-27 00:31:59
صعيدي وافتخر,روعة,5,2025-07-26 23:47:27
يوسف البرنس محمد,قمة الاحترام والزوق,5,2025-07-26 23:02:28
احمد ابوالمجد,ممتاز,5,2025-07-26 22:52:29
كامل جانشاه,ممتازه,5,2025-07-26 22:44:11
Mohamed Shalaby,ما أروعه من تطبيق,5,2025-07-26 22:17:57
Zahr Ahmed,❤️,5,2025-07-26 21:57:33
Mohamed Sayed,مدة الانتظار طويلة جداً جداً جداً و دائماً الأجرة أعلى نظراً لزيادة تلطلب,3,2025-07-26 21:57:11
Mohamed Hasaballah,ممتاز,5,2025-07-26 21:47:56
محمد البسه,ممتاز,5,2025-07-26 21:43:58
جرن يونس جالو,جيد,5,2025-07-26 21:14:40
Emad Fouad,خدمه ممتازة,5,2025-07-26 21:05:24
fatima altyeb hmad,يستحق خمسه نجوم,5,2025-07-26 20:27:53
Hebish,يتم خصم غرامة على الراكب إذا ألغى الكابتن المشوار والسبب وهمي مثل لم يعثر على الراكب.,5,2025-07-26 19:27:03
Khaled Bekeet,ممتازه,5,2025-07-26 19:24:26
Amr Mora,خدمة راقية,5,2025-07-26 19:15:45
Amr Figo,جيد,5,2025-07-26 19:13:43
Haytham Hh,ممتازة,5,2025-07-26 19:04:56
salma alashwal,حلا,5,2025-07-26 18:56:05
وبشر الصابرين,ممتاز جدا,5,2025-07-26 18:21:30
Mostafa Abdelrhman,التحديث الاخير زفت مشاكل في الgps ومشاكل تحديد موقع الالتقاء,1,2025-07-26 18:16:47
محمد زياد,ممتاز,5,2025-07-26 18:00:38
Ahmad ALamawy,افضل برنامج 🤍,5,2025-07-26 17:40:33
ابو حسين,اذا استمر التطبيق بالطريقه هذي مع الخصومات يعتبر من افضل التطبيقات,4,2025-07-26 17:36:22
Nima Said,فاضي وقريب,5,2025-07-26 17:35:35
نايف الكثيري,👍,5,2025-07-26 17:35:06
سلطان كهربا,رائع,5,2025-07-26 17:15:38
Maehmmed El Sayed,جيد,4,2025-07-26 17:13:42
Mohammad Ahmad,سيئة,1,2025-07-26 16:51:23
سمير علي,أكثر السائقين محترمين وعلى خلق ٠٠,5,2025-07-26 16:39:23
بيع وشراء موبايلات بيع وشراء موبايلات,ممتازه,5,2025-07-26 16:06:37
يهاء حفنى,التجربة جيدة جدا بس موضوع انى لازم اتصل من الرقم المسجل ده سئ جدا لانى ممكن اكون فى موقف طارئ ورقمى المسجل مش عليه رصيد فى الوقت ده ياريت تخلوا الاتصال من اى رقم مع الركب,4,2025-07-26 16:03:06
معتز عبدالفتاح,ممتازواسعاراقل,5,2025-07-26 15:55:42
Mohamed Hassan,ممتاز,5,2025-07-26 15:29:56
Ibrahim Abdalrhim,كانت رحلة ممتازة و الاستاذ اللي رحلني محترم اوي,5,2025-07-26 15:00:09
nasser ammar,خدمة ممتازة وأسلوب راقى,5,2025-07-26 14:56:29
منذر خالد شعبان,جيد جدا,5,2025-07-26 14:39:36
abh awad,للأسف أصبحت خدمة أوبر سيئة جدًا! الأسعار مبالغ فيها بشكل كبير، ضعف ثمن التاكسي العادي، وبالرغم من كده الانتظار بقى طويل جدًا، أكتر من نصف ساعة أحيانًا علشان ألاقي سائق يقبل المشوار! الخدمة بقت استغلال وسرقة مش وسيلة نقل محترمة زي زمان.,1,2025-07-26 14:26:26
MAHMOUD BASHA,رائعة,5,2025-07-26 14:19:32
fafa alsnwsi,تجربة رايعة,5,2025-07-26 13:44:08
Hisham Mahmoud,ابليكشن كويس ولكنه غالي اوي عن المنافسين + أن باخد وقت طويل عقبال اما حد يقبل ال Ride,3,2025-07-26 13:39:02
هنادي اربعين,لاتستطيع تحديد نوع السيارة من البدايه ..يفضل ان اختار السيارة وعدد الركاب,1,2025-07-26 13:32:31
محمد علام,ممتاز,5,2025-07-26 13:30:09
ahmed farrag,جميل,5,2025-07-26 13:13:23
mustafa tato,ممتاز جدا,5,2025-07-26 12:55:43
Ahmed ريببربAnter,ممتازه,1,2025-07-26 12:38:11
Nasser Alshahrani,اشعر بالولاء حياله من بين التطبيقات 😊,5,2025-07-26 11:59:48
Anwar Zafari,جيد جدا,5,2025-07-26 11:45:32
Margo Samir,سيئ جدا بسبب طول مدة الانتظار انا علشان اطلب مشوار بنتظر اكثر من ساعة,1,2025-07-26 11:27:45
المعتصم مثنئ,ممتاز,5,2025-07-26 11:12:21
Samir Zidan,ممتازة,5,2025-07-26 10:43:06
Mohamed Nasr,تجربه سيئه في يوم ركبت مع كابتن وقام بتخاذ مسار اخر غير الزي محدد على الخريطه وأخذ شخص آخر من هذا الطريق ركب معي انصح بعدم استخدامه بسبب أن الدعم المخصص لشركه أيضا لم يقوم بأخذ الحيطة,1,2025-07-26 10:35:23
Ahmad Ibrahim,ممتازه,5,2025-07-26 10:06:27
محمود ربيع,ممتاز,5,2025-07-26 10:03:37
Mahmoud Elibe,ممتاز,5,2025-07-26 09:51:05
Mohamad Abukaff,تطبيق رائع وخدمه مميزه وكباتن في قمه الادب والاحترام,5,2025-07-26 09:34:02
محمد ذيدان,ممتاز,5,2025-07-26 09:19:06
Adel Almesri,تجربة ممتازة,5,2025-07-26 09:13:14
Nazik Abdoo,يجب اختيار سائقين مهذبين ..وبال اطول للتعامل مع العميل والحرص علي وجود فكه لدي السائق,3,2025-07-26 08:56:19
أحمد عثمان علام,الاجرة متغيرة بشكل غير عادي,4,2025-07-26 08:52:57
Khaled Hassan,ممتاز,5,2025-07-26 08:50:15
مجدى درويش,ممتاز,5,2025-07-26 08:47:27
أم خالد,الوكيشن دائما بعطكي طريق بعيد و لما اطلب بكون كابتن بعيد,3,2025-07-26 08:45:07
khs noon,برنامج ممتاز ولكن لايصلني عروض كثيرا واسعار غالية كثيرا الان دائما الأسعار أعلى من المتوقع,5,2025-07-26 08:37:37
نضال عبد الرازق,برنامج جميل بس المذعلني انو السايق هو البيلغي المشوار وتجو تخصمو من العميل الفلوس هدا حرام ياريت تلغو الخصم هدا,1,2025-07-26 08:33:38
hayam mohamed,ممتازه,5,2025-07-26 08:21:48
Abood Makahleh,تطبيق راءغ,5,2025-07-26 08:12:09
محمد جمال الدين,جيدة,5,2025-07-26 08:09:08
Hanaa Ghareeb,رائعة و خدمة ممتازة جدا,5,2025-07-26 08:02:59
Mohammed Galal,ممتاز جدا,5,2025-07-26 07:36:46
Galal Hamam,جيده جدا,4,2025-07-26 07:36:31
Girgis Yoyo,جيده,4,2025-07-26 07:31:38
عبدالعزيز جمال,رائع,5,2025-07-26 07:23:42
Amin Mohamed,برنامج رائع جداً و سلس رهيب جدا أوصى به,5,2025-07-26 07:22:51
za a,good,5,2025-07-26 06:54:09
عيوش عريشي,شكرا,5,2025-07-26 06:42:49
Ta7ya Misr,ممتاز,5,2025-07-26 06:27:34
رحمه سيد,ممتاز جدا,5,2025-07-26 06:22:29
Amr Badawy,راجل محترم,5,2025-07-26 06:09:26
amen kamoush,ممتاز,5,2025-07-26 06:05:21
HANY HAMAM,ممتاذ,5,2025-07-26 05:58:01
miro hegazy,التقييم أصبحت اسعاره مرتفعه جدا وللأسف لم يتم توفر سائقين كما ف الماضي ولا يوجد خصومات ولا عروض ياريت الاهتمام بوجوده البرنامج,3,2025-07-26 05:55:01
Mohammed Hosni,السائق محترم جدا,5,2025-07-26 05:42:35
waad karem,تجربه جميله,5,2025-07-26 05:04:01
HR HR,ممتاز,5,2025-07-26 03:59:38
Ali Abo Jack,ممتازه والسائق راقى جدا,5,2025-07-26 03:50:54
صالح عبده,تطبيق أوبر يُعد من أفضل تطبيقات النقل الذكي، يتميز بسهولة الاستخدام وسرعة الوصول للسائقين. يوفر خدمات آمنة ومتعددة مع خيارات دفع متنوعة، لكن تسعير الرحلات قد يكون مرتفعًا في أوقات الذروة. يعمل بكفاءة في أغلب الدول .,5,2025-07-26 03:41:18
Sayed Ali,جيده,5,2025-07-26 03:16:33
Ahmed Noraldin,ممتاز,5,2025-07-26 02:13:57
عماد سعيد فايد,ممتاز,5,2025-07-26 01:38:04
حسن الحربي,رائع,5,2025-07-26 01:36:55
Ndbdidb Ndbdjjdj,جيد جدا,5,2025-07-25 23:58:24
mahmoud bob,ممتاز,5,2025-07-25 23:55:54
مؤيد الغباري,ممتاز,5,2025-07-25 23:10:28
بحر الغريب,اوبر جميل جدا,5,2025-07-25 23:09:56
Abdullah Almohideef,رائع جدا,5,2025-07-25 22:54:14
Abdallh Berar56,تجربه ممتازه جدا و الله العظيم ❤️,5,2025-07-25 22:21:43
طلال الحجري,جميل,5,2025-07-25 22:08:51
ahmed ibrahem,برنامج ممتاز,5,2025-07-25 21:39:31
Ayman Afife,جود,4,2025-07-25 20:56:37
Abdelmonem Hosny,جيده,5,2025-07-25 20:53:45
xp y,ممتاز,4,2025-07-25 20:39:14
محمد العيسوي,ممتاز,5,2025-07-25 20:38:10
إيمان,ممتازه,5,2025-07-25 20:23:00
Google أمن,تطبيق ممتاز جدا جدا,5,2025-07-25 20:13:01
Lord Omar,ممتازة,5,2025-07-25 19:53:28
محمد جاد,جيد جدا,5,2025-07-25 19:13:19
Ahmed Kilani,ممتاز جدا,5,2025-07-25 19:05:29
Firas Fahmi,تبارك الرحمن من أفضل التطبيقات,5,2025-07-25 18:58:45
Adam Amr,حلو,5,2025-07-25 18:58:26
fares khalifa,جميله,5,2025-07-25 18:48:24
Zozo Zozo,جيد جدا جدا,5,2025-07-25 18:31:20
Ahmed Khaled,روعة,5,2025-07-25 18:16:24
BU_MIRA HH,تاخير كثير,2,2025-07-25 18:02:56
Abdo Mh,ممتاز,5,2025-07-25 18:02:04
Ali Ahmed,ممتاز,5,2025-07-25 17:57:53
Said Baskota,رائع,5,2025-07-25 17:43:21
sabah zahran,تجربة جيدة توجد بعض المشاكل التقنية زى انى الاقى السائق يسألني عن وجهتى بالرغم من انى بكون محددة الوجهة واحيانا بيرفض المشوار والموقع قام بتغريمى بالرغم من انى مش انا اللى رفضت الطلب ودفعونى فلوس بالفعل فى المشوار اللاحق ..,3,2025-07-25 16:56:01
Khaled Gomaa,سائق محترم وسياره نظيفه,5,2025-07-25 16:55:51
One day,جميل جدا,5,2025-07-25 16:49:12
نسيبة احمد,تطبيق راااااائع وآمن 😍😍,5,2025-07-25 16:27:14
AKARM SHARMAN,جميل جدا ويستحق اكثر من ٥ نجمات بصراحه,5,2025-07-25 16:16:46
Eman Hassen,ممتازه,5,2025-07-25 15:39:04
Dodo Tawfek,التطبيق جميل جدا جدا,5,2025-07-25 14:57:15
سليمان احمد,جيد,5,2025-07-25 14:46:21
Marah Jaar,جميل,5,2025-07-25 14:29:50
Fadi Yanal,الاجره على الفيزا غير النقد ... مبلغ مبالغ فيه دون اشعارك بذلك,1,2025-07-25 14:25:47
Momo Mom,تطبيق سيئ جدا أصبح تدفع أكثر من المتفق عليه,1,2025-07-25 14:11:17
برو مكس,برنامج ممتاز,5,2025-07-25 13:55:37
ayman fragg,يرجى متابعة للكابتن...بعضهم... يتعمد .. بفرض ..غرامه ..علي العميل..للاستفاده من رسوم الغرامه .. بدون وجه حق ويدعي أنه وصل للعميل والعميل لم يصل ولكنه للأسف لم يتحرك من مكانه وهذا تكرر معي كثيراً جداً جداً برجاء الاهتمام بهذا,5,2025-07-25 13:43:39
morsal shabibi,راااااائع,5,2025-07-25 13:32:06
Hossam Hafeyz,good,5,2025-07-25 13:31:28
زياد زيد ابوحليقه,قوه القوه,5,2025-07-25 13:06:41
Faisal ahmad,خدمة الدعم لاتتساعد معك .لقد فقدت غرض مهم بأحد الرحلات واخبرتهم بالمشكلة واخبرو السائق بالغرض المفقود وانكر وجوده .وانا متأكد انه سقط بالسيارة..واحتمال كبير انه يكون تحت الكراسي...لكنه لم يبحث جيدا ..واخبروهم ان يعطونني رقم التواصل للسائق. .ورفضو بسبب الخصوصية!! وهم لا يتساعدون معك بشكل ايجابي لحل المشكلة..,3,2025-07-25 12:42:26
Mohamed Hany,الكابتن زباله وتأخير,1,2025-07-25 12:02:56
سميرة ناصر,خدماتكم رائعه شكرا,5,2025-07-25 11:46:48
شريف ابوحمدى,جيد,3,2025-07-25 11:32:19
رعد العواصف,جيد جداً,5,2025-07-25 11:21:53
Ali Samara,بعد التجربة تبين ان تطبيق اوبر من افضل التطبيقات الموجودة في الاردن شكرا لكم والاجرة مقبولة بالمقارنة مع التطبيقات الاخرى,5,2025-07-25 11:20:54
Al L,ممتاز,5,2025-07-25 11:02:10
amro elsesy,ممتاذ فى الاستجابة أو الأسعار,5,2025-07-25 10:57:33
Alaa Elsayed,جيده جدا,5,2025-07-25 10:57:05
NAMAR ALREADAH NAMAR ALREADAH,ممتاز الله يوفقه,5,2025-07-25 09:44:07
Qusai Al amaerah,المواقع بدها تحديث لانو في شوارع مسكره,4,2025-07-25 09:43:28
Kk Kkjjnfm,احسنن تطبيق في الحياه,5,2025-07-25 09:26:34
Khaldoun Abooumara,ممتاز,1,2025-07-25 09:13:42
محمد فريد,ممتاز,5,2025-07-25 09:12:40
هشام العبادي,تطبيق كويس جدا بس للاسف في سواقين بعد ما بتتفق معاك تلغي الرحله بس هو تطبيق كويس,5,2025-07-25 08:56:17
Wael WAEL,اوبر السعوديه للاسف تطلب يتكنسل مشوارك عشرين مره ليه لن الي طالب رجال والساق للاسف عايز حريم يوصل فقط واذا جاك وشافك يقول مايركب اجانب,1,2025-07-25 08:52:47
Gamal Kabasy,ممتازة,5,2025-07-25 08:17:25
اميرة حسن,very good,5,2025-07-25 08:17:23
Ahmed Elghany,غالي جدا,3,2025-07-25 07:47:59
مصطفى عرفات,جيده جدا,5,2025-07-25 07:10:03
Mali Nbe,ممتازه,5,2025-07-25 06:04:23
yasser Elbehery,ممتاز جدا جدا,5,2025-07-25 05:31:34
hamdy Ali,ممتاز,5,2025-07-25 04:09:01
fares Harby,جميله جدا,5,2025-07-25 04:05:50
محي الدين ناصر ناصر,خدمة مريحة وممتازة,5,2025-07-25 04:01:26
عبد الرحمن عربي,حلو وممتاز,5,2025-07-25 01:26:41
Feras Waheeb,جيد جدا,5,2025-07-25 01:13:45
ابو انس الجماعي 02 الجماعي,شكرا لسرعة الاستجابة وسهولة الاستخدام تطبيق يضمن السرعه والراحه 👍💓,5,2025-07-25 00:44:20
Mohamed Rezk,ممتاز جدا,5,2025-07-25 00:22:21
Ragab Gaber,ممتاز,5,2025-07-24 23:19:12
صالح باشا,كل الشكر والتقدير,5,2025-07-24 23:12:22
Nour Zidan,ممتازه,5,2025-07-24 23:09:41
ابراهيم العربي,good luck,5,2025-07-24 23:02:53
Aml Osman,ممتازة,5,2025-07-24 21:42:27
Ammar Mohammed,ممتاز,5,2025-07-24 21:22:52
Ali Albadawi,سيئه لفرض رسوم بدون داعي,5,2025-07-24 21:14:21
راشد ابو كف,محترمين ومعامله جيده,5,2025-07-24 20:39:27
Khalid Abunawas,جيدة,3,2025-07-24 20:31:42
Jgvjgibkgj Cjvkuf,برنامج بياخد نسبه عاليه جدا بياخد نسبه عاليه جدا من الكابتن فبيكون السعر رايح الرحله غاليه عشان نسبته عاليه جدا اتصل اود الى 40% من ياخدها من الكابتن,1,2025-07-24 20:18:13
صالح محمد صالح,إنسان زوق وخلوق,5,2025-07-24 20:07:48
Sulaiman One,جيدة,5,2025-07-24 19:45:47
Abdullah Abuahmad,تطبيق رائع,5,2025-07-24 19:14:50
mohamed khaled,بصراحه اول مره اتعامل مع الابلكيشن خدمه محترمه والاسعار ممتازه ربنا يكرمكم,5,2025-07-24 19:05:03
محسن محمد,جيد,5,2025-07-24 19:02:15
Ebrahim Saif,ممتاز,5,2025-07-24 18:58:05
محمد مسعد,جيد,5,2025-07-24 18:57:39
شحادة عبدالعال,ممتاز,5,2025-07-24 18:57:04
Mesho,ممتاز,5,2025-07-24 18:53:38
Mohamed Khalaf,ممتازه والاسعار كويسه جدا,5,2025-07-24 18:27:28
احمد عشري رجب اللبيشي,ممتاز چدا,5,2025-07-24 18:25:23
Amr Mezo,جيدة,4,2025-07-24 18:18:21
Mohamed El Morsi,رائع,5,2025-07-24 18:12:12
Saeed Sami,التطبيق ممتاز جدا ❤️❤️,5,2025-07-24 17:42:30
محمد الصاوى,ممتازه,5,2025-07-24 16:57:44
Sherif Hamza,سائق ممتاز خلوق خبير في الطرق,5,2025-07-24 16:45:06
Dodo Dody,زي الزفت ياريتني ماحملته,1,2025-07-24 16:42:46
Basma Ramy,بقي سئ جدا,1,2025-07-24 16:37:38
زيزو و التوأم فن الرسم & فكرة وأختراع,ممتاز جدا,5,2025-07-24 16:13:25
Football Skills,احسن من دى دى واندريفر وارخص كمان وعربيات مكيفه,5,2025-07-24 16:05:39
App App,ممتاز وجزاكم الله خيرا الجزاء 👍⭐️⭐️⭐️⭐️⭐️,5,2025-07-24 15:27:17
محمود محمد,روعه,5,2025-07-24 15:24:09
سعد الدسيت,ممتاز جدا,5,2025-07-24 14:27:01
Ahmad Mostafa,هايل,5,2025-07-24 14:00:04
Reham Azazy,ممتازة,5,2025-07-24 13:55:01
مصر بلدى وأنا صعيدى,برنامج هايل ممتاز يا ريت يوصل جميع المحافظات,5,2025-07-24 13:41:18
aboanas alharbi,جيد جداً,3,2025-07-24 13:36:06
Zahrah Ali,تم سحب مني مبالغ من دون إجراء مشوار لأكثر من مرة وعند التواصل مع الدعم لا أجد إجابة.,2,2025-07-24 13:29:57
Mohame Said,ممتازه,5,2025-07-24 13:15:50
حبيبي يا ربنا,جميل,5,2025-07-24 13:08:14
7ekaya 7ekaya,عرفوا سائق الموتوسيكل هو رايح فين,4,2025-07-24 13:05:21
Mahmud Mahmud,ممتاز,5,2025-07-24 13:04:40
Sameh Mohsen,ممتاز,5,2025-07-24 12:43:35
Sayed Mohamed,ممتازه,5,2025-07-24 12:00:55
عتيق جمعان,جميل جدآ,5,2025-07-24 11:32:41
علي عواض,ممتاز بارك الله فيكم,5,2025-07-24 10:55:29
Momnalsed Alsed,جيد,4,2025-07-24 10:48:45
mohamed sleam,ممتاز,5,2025-07-24 10:18:42
Ic Ja,حلو لاكن يسرعع,3,2025-07-24 10:11:15
Ahmed Badawy,ممتاز,5,2025-07-24 10:00:43
Gehan Shaker,حاجه كويسه جدا سهلت علينا تعب كتير,5,2025-07-24 09:49:44
ahmed abdala,جيد,5,2025-07-24 09:10:53
Ibrahim Siddig,ممتاز.. ويستحق!,5,2025-07-24 09:09:03
ابو ادهم,ممتاز,5,2025-07-24 09:03:05
hadeel ammar,رائعه,5,2025-07-24 08:30:48
Moha Sanad,برنامج رائع جدا ومميز,5,2025-07-24 08:08:59
Safi Albir,ممتاز,5,2025-07-24 07:44:26
Abd Alhamed,ممتازه,5,2025-07-24 07:21:18
Wael Abad,ممتازين,1,2025-07-24 07:01:15
Abdullah The decimal,جميل,5,2025-07-24 06:58:57
ايمن شتات,ممتاز جداً,5,2025-07-24 06:43:44
Ashraf Nabil,ممتازه,5,2025-07-24 06:41:09
ابو محمود,خدمه ممتازه,5,2025-07-24 05:39:22
Mohmed Momea,سائق محترف,5,2025-07-24 04:59:38
محمود عبده,ممتاز,3,2025-07-24 04:44:24
احلام بركات,رائع 🤩,5,2025-07-24 04:31:01
Esam ALdin Osama,رحلة جميلة,5,2025-07-24 03:59:41
مازن عمرو,أسطورة,5,2025-07-24 03:55:01
Ashraf Soida,سوف ابداء فى استخدام أوبر اسكور برجاء مراعاه الاستخدام اليومى من المنزل إلى العمل ذهاب واياب ارجوا المساعده,5,2025-07-24 03:37:36
عدنان العزيق,جميييل جدا,5,2025-07-24 00:58:27
‪MOHAMED SAMEH (Rico)‬‏,Keep going with uber,5,2025-07-24 00:46:35
Um islam Waly,ممتازه,5,2025-07-23 23:21:14
Tamer Mahmoed,جيد جدااا,5,2025-07-23 23:03:47
Sayed Abada,ممتازة,5,2025-07-23 22:49:30
Farouk Elsbahi,ممتاز,5,2025-07-23 22:20:40
عبدالمجيد ابوالحمايل,اسعاره تغيرت عن السابق للأفضل بكثير ويعتبر من الاوائل,5,2025-07-23 22:10:43
Mahmoud Abdelzaziz,good,5,2025-07-23 21:55:14
Yas ria,تجربة ممتازه جدا,5,2025-07-23 21:39:57
Jehan Ahmed,جيد جدا,5,2025-07-23 21:28:26
هيثم عبدالله رمضان عرفه,ممتاز,5,2025-07-23 20:43:03
waleed alshatti,ممتااااااز... ولكن كيفية تحديد موقعي لكي تأتي السيارة مكان وقوفي,5,2025-07-23 20:36:24
أحمد محمد عبدالعزيز حسن البلقاسي,good,5,2025-07-23 20:12:37
Ibrahim Mohamed,ممتاز جدا,5,2025-07-23 19:59:23
Baha Othman,شئ لا يوصف تطبيق جدا رائع انصح بأستخدامه,5,2025-07-23 19:35:53
adeal Ibrahim,ممتاز,5,2025-07-23 19:08:16
mohammad Kabir,للأسف الشديد الأسعار غالية لحد كبير نرجو منكم الحل والتطبيق بطيء,2,2025-07-23 18:54:38
madonna hanna,ممتاز,5,2025-07-23 18:20:54
محمد سامح محمد سامح,جميل,5,2025-07-23 18:17:55
Somh Nashwan,ممتازه,5,2025-07-23 17:58:48
مصطفى حماده,ممتاز,5,2025-07-23 17:52:11
اسلام المصري,جيد ولكن ليس ممتازه,3,2025-07-23 17:18:15
karem almasry,ممتازة,5,2025-07-23 17:05:57
عبدالرحمن 1986,كويس,5,2025-07-23 16:57:35
Hesham Kamal,بصراحة برنامج أصبح قبيح ومؤسف رجاء إلغاء الخدمة في مصر أفضل من هذا الوضع السئ الدنئ !!!,1,2025-07-23 16:49:01
Mohamed Abdelmoneim,حجزت اتوبيس، السائق لم يتوقف عند نقطة الالتقاء وانا كنت منتظر هناك,1,2025-07-23 16:36:25
Shreif Hafez saed,ممتاز جدا جدا جدا,5,2025-07-23 16:04:10
Khalid Gebril,ممتاز,5,2025-07-23 15:28:02
عبدالرافع بابكر,ممتاز,5,2025-07-23 14:59:55
عوض الحسين,ممتاز,5,2025-07-23 14:38:25
Ashraf Khames,رحلة ممتازى,5,2025-07-23 14:14:38
Samer Anwar,good,4,2025-07-23 14:13:54
وجيه علي,@برامج جميل جدا,5,2025-07-23 13:49:56
Ahmed Mostafa,محدش بيرد على الشكاوي,1,2025-07-23 13:49:19
بكري شمس الدين,ممتاز,5,2025-07-23 13:20:07
goggle goggle,ممتاز,5,2025-07-23 13:12:44
Janet Farg,ممتاز سهوله التحرك,5,2025-07-23 12:44:07
يوسف الذعواني,ممتاز,5,2025-07-23 12:25:13
HAZAA K,جميل,5,2025-07-23 12:19:20
Mohamed Monsuro,جميل و لكن فى بعض الأحيان الكابتن ليطلب مننا نلغي الرحلة علشان المكان شعبي و لو ملغتش لان المشكلة مش عندي بيطبق عليا غرامة,1,2025-07-23 12:14:40
