userName,content,score,at,sentiment,clean_text
Sho Zak,اولا...التطبيق بطئ الاستجابة نظرا لكثرة التحديثات التى اوصلته الى اكثر 750 ميجا المطلوب تبسيط و تصغير حجم البرنامج ليشغل مساحة اقل على الجهاز مما يجعله خفيف و اسرع فى الاستجابة ثانيا...كل السائقين الان يوافقون على رحلات جديدة قبل الانتهاء من رحلاتهم القائمين بها بالفعل مما يزيد مدة الانتظار للعميل المطلوب انهاء و اقفال جميع الرحلات الحالية للسائق شرط لقبول قيامه برحلة جديدة مما يظهر زمن الانتظار الفعلى للعميل ثالثا...الاجرة المتوقعة تكون هى الاجرة الفعلية لعدم تسبب مفاجأة او احراج للعميل اوبرمصر,1,2025-07-27 04:02:09,negative,اولا التطبيق بطئ الاستجابه نظرا لكثره التحديثات اوصلته الي اكثر ميجا المطلوب تبسيط تصغير حجم البرنامج ليشغل مساحه اقل الجهاز يجعله خفيف اسرع الاستجابه ثانيا السائقين الان يوافقون رحلات جديده الانتهاء رحلاتهم القائمين بالفعل يزيد مده الانتظار للعميل المطلوب انهاء اقفال الرحلات الحاليه للسائق شرط لقبول قيامه برحله جديده يظهر زمن الانتظار الفعلي للعميل ثالثا الاجره المتوقعه تكون الاجره الفعليه لعدم تسبب مفاجاه احراج للعميل اوبرمصر
Mohmedhosin Hosin,ممتازة,5,2025-07-27 03:11:15,positive,ممتازه
Yasser deif,خدمة جيدة جدا,5,2025-07-27 02:25:57,positive,خدمه جيده جدا
ام يس احمد,تجربه ممتازه جدا سواق موهذب,5,2025-07-27 02:09:10,positive,تجربه ممتازه جدا سواق موهذب
محمد الطريفي (‪ABU ZIDAN‬‏),اصلي,5,2025-07-27 01:59:25,positive,اصلي
Aftkar A,خدمه ممتازه جدا جدا جدا,5,2025-07-27 00:47:51,positive,خدمه ممتازه جدا جدا جدا
k,ممتاز,5,2025-07-27 00:47:38,positive,ممتاز
الفنان محمد السليماني,ممتاز,5,2025-07-27 00:31:59,positive,ممتاز
صعيدي وافتخر,روعة,5,2025-07-26 23:47:27,positive,روعه
يوسف البرنس محمد,قمة الاحترام والزوق,5,2025-07-26 23:02:28,positive,قمه الاحترام والزوق
احمد ابوالمجد,ممتاز,5,2025-07-26 22:52:29,positive,ممتاز
كامل جانشاه,ممتازه,5,2025-07-26 22:44:11,positive,ممتازه
Mohamed Shalaby,ما أروعه من تطبيق,5,2025-07-26 22:17:57,positive,اروعه
Zahr Ahmed,❤️,5,2025-07-26 21:57:33,positive,
Mohamed Sayed,مدة الانتظار طويلة جداً جداً جداً و دائماً الأجرة أعلى نظراً لزيادة تلطلب,3,2025-07-26 21:57:11,neutral,مده الانتظار طويله جدا جدا جدا دائما الاجره اعلي نظرا لزياده تلطلب
Mohamed Hasaballah,ممتاز,5,2025-07-26 21:47:56,positive,ممتاز
محمد البسه,ممتاز,5,2025-07-26 21:43:58,positive,ممتاز
جرن يونس جالو,جيد,5,2025-07-26 21:14:40,positive,جيد
Emad Fouad,خدمه ممتازة,5,2025-07-26 21:05:24,positive,خدمه ممتازه
fatima altyeb hmad,يستحق خمسه نجوم,5,2025-07-26 20:27:53,positive,يستحق خمسه نجوم
Hebish,يتم خصم غرامة على الراكب إذا ألغى الكابتن المشوار والسبب وهمي مثل لم يعثر على الراكب.,5,2025-07-26 19:27:03,positive,يتم خصم غرامه الراكب اذا الغي الكابتن المشوار والسبب وهمي يعثر الراكب
Khaled Bekeet,ممتازه,5,2025-07-26 19:24:26,positive,ممتازه
Amr Mora,خدمة راقية,5,2025-07-26 19:15:45,positive,خدمه راقيه
Amr Figo,جيد,5,2025-07-26 19:13:43,positive,جيد
Haytham Hh,ممتازة,5,2025-07-26 19:04:56,positive,ممتازه
salma alashwal,حلا,5,2025-07-26 18:56:05,positive,حلا
وبشر الصابرين,ممتاز جدا,5,2025-07-26 18:21:30,positive,ممتاز جدا
Mostafa Abdelrhman,التحديث الاخير زفت مشاكل في الgps ومشاكل تحديد موقع الالتقاء,1,2025-07-26 18:16:47,negative,التحديث الاخير زفت مشاكل ال ومشاكل تحديد موقع الالتقاء
محمد زياد,ممتاز,5,2025-07-26 18:00:38,positive,ممتاز
Ahmad ALamawy,افضل برنامج 🤍,5,2025-07-26 17:40:33,positive,افضل
ابو حسين,اذا استمر التطبيق بالطريقه هذي مع الخصومات يعتبر من افضل التطبيقات,4,2025-07-26 17:36:22,positive,اذا استمر التطبيق بالطريقه الخصومات يعتبر افضل التطبيقات
Nima Said,فاضي وقريب,5,2025-07-26 17:35:35,positive,فاضي وقريب
نايف الكثيري,👍,5,2025-07-26 17:35:06,positive,
سلطان كهربا,رائع,5,2025-07-26 17:15:38,positive,رائع
Maehmmed El Sayed,جيد,4,2025-07-26 17:13:42,positive,جيد
Mohammad Ahmad,سيئة,1,2025-07-26 16:51:23,negative,سيئه
سمير علي,أكثر السائقين محترمين وعلى خلق ٠٠,5,2025-07-26 16:39:23,positive,اكثر السائقين محترمين وعلي خلق
بيع وشراء موبايلات بيع وشراء موبايلات,ممتازه,5,2025-07-26 16:06:37,positive,ممتازه
يهاء حفنى,التجربة جيدة جدا بس موضوع انى لازم اتصل من الرقم المسجل ده سئ جدا لانى ممكن اكون فى موقف طارئ ورقمى المسجل مش عليه رصيد فى الوقت ده ياريت تخلوا الاتصال من اى رقم مع الركب,4,2025-07-26 16:03:06,positive,التجربه جيده جدا موضوع اني لازم اتصل الرقم المسجل ده سئ جدا لاني ممكن اكون موقف طارئ ورقمي المسجل مش رصيد الوقت ده ياريت تخلوا الاتصال اي رقم الركب
معتز عبدالفتاح,ممتازواسعاراقل,5,2025-07-26 15:55:42,positive,ممتازواسعاراقل
Mohamed Hassan,ممتاز,5,2025-07-26 15:29:56,positive,ممتاز
Ibrahim Abdalrhim,كانت رحلة ممتازة و الاستاذ اللي رحلني محترم اوي,5,2025-07-26 15:00:09,positive,كانت رحله ممتازه الاستاذ اللي رحلني محترم اوي
nasser ammar,خدمة ممتازة وأسلوب راقى,5,2025-07-26 14:56:29,positive,خدمه ممتازه واسلوب راقي
منذر خالد شعبان,جيد جدا,5,2025-07-26 14:39:36,positive,جيد جدا
abh awad,للأسف أصبحت خدمة أوبر سيئة جدًا! الأسعار مبالغ فيها بشكل كبير، ضعف ثمن التاكسي العادي، وبالرغم من كده الانتظار بقى طويل جدًا، أكتر من نصف ساعة أحيانًا علشان ألاقي سائق يقبل المشوار! الخدمة بقت استغلال وسرقة مش وسيلة نقل محترمة زي زمان.,1,2025-07-26 14:26:26,negative,للاسف اصبحت خدمه اوبر سيئه جدا الاسعار مبالغ بشكل كبير، ضعف ثمن التاكسي العادي، وبالرغم كده الانتظار بقي طويل جدا، اكتر نصف ساعه احيانا علشان الاقي سائق يقبل المشوار الخدمه بقت استغلال وسرقه مش وسيله نقل محترمه زي زمان
MAHMOUD BASHA,رائعة,5,2025-07-26 14:19:32,positive,رائعه
fafa alsnwsi,تجربة رايعة,5,2025-07-26 13:44:08,positive,تجربه رايعه
Hisham Mahmoud,ابليكشن كويس ولكنه غالي اوي عن المنافسين + أن باخد وقت طويل عقبال اما حد يقبل ال Ride,3,2025-07-26 13:39:02,neutral,ابليكشن كويس ولكنه غالي اوي المنافسين ان باخد وقت طويل عقبال اما حد يقبل ال
هنادي اربعين,لاتستطيع تحديد نوع السيارة من البدايه ..يفضل ان اختار السيارة وعدد الركاب,1,2025-07-26 13:32:31,negative,لاتستطيع تحديد نوع السياره البدايه يفضل ان اختار السياره وعدد الركاب
محمد علام,ممتاز,5,2025-07-26 13:30:09,positive,ممتاز
ahmed farrag,جميل,5,2025-07-26 13:13:23,positive,جميل
mustafa tato,ممتاز جدا,5,2025-07-26 12:55:43,positive,ممتاز جدا
Ahmed ريببربAnter,ممتازه,1,2025-07-26 12:38:11,negative,ممتازه
Nasser Alshahrani,اشعر بالولاء حياله من بين التطبيقات 😊,5,2025-07-26 11:59:48,positive,اشعر بالولاء حياله التطبيقات
Anwar Zafari,جيد جدا,5,2025-07-26 11:45:32,positive,جيد جدا
Margo Samir,سيئ جدا بسبب طول مدة الانتظار انا علشان اطلب مشوار بنتظر اكثر من ساعة,1,2025-07-26 11:27:45,negative,سيئ جدا بسبب طول مده الانتظار علشان اطلب مشوار بنتظر اكثر ساعه
المعتصم مثنئ,ممتاز,5,2025-07-26 11:12:21,positive,ممتاز
Samir Zidan,ممتازة,5,2025-07-26 10:43:06,positive,ممتازه
Mohamed Nasr,تجربه سيئه في يوم ركبت مع كابتن وقام بتخاذ مسار اخر غير الزي محدد على الخريطه وأخذ شخص آخر من هذا الطريق ركب معي انصح بعدم استخدامه بسبب أن الدعم المخصص لشركه أيضا لم يقوم بأخذ الحيطة,1,2025-07-26 10:35:23,negative,تجربه سيئه يوم ركبت كابتن وقام بتخاذ مسار اخر الزي محدد الخريطه واخذ شخص اخر الطريق ركب معي انصح بعدم استخدامه بسبب ان الدعم المخصص لشركه ايضا يقوم باخذ الحيطه
Ahmad Ibrahim,ممتازه,5,2025-07-26 10:06:27,positive,ممتازه
محمود ربيع,ممتاز,5,2025-07-26 10:03:37,positive,ممتاز
Mahmoud Elibe,ممتاز,5,2025-07-26 09:51:05,positive,ممتاز
Mohamad Abukaff,تطبيق رائع وخدمه مميزه وكباتن في قمه الادب والاحترام,5,2025-07-26 09:34:02,positive,رائع وخدمه مميزه وكباتن قمه الادب والاحترام
محمد ذيدان,ممتاز,5,2025-07-26 09:19:06,positive,ممتاز
Adel Almesri,تجربة ممتازة,5,2025-07-26 09:13:14,positive,تجربه ممتازه
Nazik Abdoo,يجب اختيار سائقين مهذبين ..وبال اطول للتعامل مع العميل والحرص علي وجود فكه لدي السائق,3,2025-07-26 08:56:19,neutral,يجب اختيار سائقين مهذبين وبال اطول للتعامل العميل والحرص وجود فكه لدي السائق
أحمد عثمان علام,الاجرة متغيرة بشكل غير عادي,4,2025-07-26 08:52:57,positive,الاجره متغيره بشكل عادي
Khaled Hassan,ممتاز,5,2025-07-26 08:50:15,positive,ممتاز
مجدى درويش,ممتاز,5,2025-07-26 08:47:27,positive,ممتاز
أم خالد,الوكيشن دائما بعطكي طريق بعيد و لما اطلب بكون كابتن بعيد,3,2025-07-26 08:45:07,neutral,الوكيشن دائما بعطكي طريق بعيد اطلب بكون كابتن بعيد
khs noon,برنامج ممتاز ولكن لايصلني عروض كثيرا واسعار غالية كثيرا الان دائما الأسعار أعلى من المتوقع,5,2025-07-26 08:37:37,positive,ممتاز لايصلني عروض واسعار غاليه الان دائما الاسعار اعلي المتوقع
نضال عبد الرازق,برنامج جميل بس المذعلني انو السايق هو البيلغي المشوار وتجو تخصمو من العميل الفلوس هدا حرام ياريت تلغو الخصم هدا,1,2025-07-26 08:33:38,negative,جميل المذعلني انو السايق البيلغي المشوار وتجو تخصمو العميل الفلوس هدا حرام ياريت تلغو الخصم هدا
hayam mohamed,ممتازه,5,2025-07-26 08:21:48,positive,ممتازه
Abood Makahleh,تطبيق راءغ,5,2025-07-26 08:12:09,positive,راءغ
محمد جمال الدين,جيدة,5,2025-07-26 08:09:08,positive,جيده
Hanaa Ghareeb,رائعة و خدمة ممتازة جدا,5,2025-07-26 08:02:59,positive,رائعه خدمه ممتازه جدا
Mohammed Galal,ممتاز جدا,5,2025-07-26 07:36:46,positive,ممتاز جدا
Galal Hamam,جيده جدا,4,2025-07-26 07:36:31,positive,جيده جدا
Girgis Yoyo,جيده,4,2025-07-26 07:31:38,positive,جيده
عبدالعزيز جمال,رائع,5,2025-07-26 07:23:42,positive,رائع
Amin Mohamed,برنامج رائع جداً و سلس رهيب جدا أوصى به,5,2025-07-26 07:22:51,positive,رائع جدا سلس رهيب جدا اوصي
za a,good,5,2025-07-26 06:54:09,positive,
عيوش عريشي,شكرا,5,2025-07-26 06:42:49,positive,شكرا
Ta7ya Misr,ممتاز,5,2025-07-26 06:27:34,positive,ممتاز
رحمه سيد,ممتاز جدا,5,2025-07-26 06:22:29,positive,ممتاز جدا
Amr Badawy,راجل محترم,5,2025-07-26 06:09:26,positive,راجل محترم
amen kamoush,ممتاز,5,2025-07-26 06:05:21,positive,ممتاز
HANY HAMAM,ممتاذ,5,2025-07-26 05:58:01,positive,ممتاذ
miro hegazy,التقييم أصبحت اسعاره مرتفعه جدا وللأسف لم يتم توفر سائقين كما ف الماضي ولا يوجد خصومات ولا عروض ياريت الاهتمام بوجوده البرنامج,3,2025-07-26 05:55:01,neutral,التقييم اصبحت اسعاره مرتفعه جدا وللاسف يتم توفر سائقين الماضي يوجد خصومات عروض ياريت الاهتمام بوجوده البرنامج
Mohammed Hosni,السائق محترم جدا,5,2025-07-26 05:42:35,positive,السائق محترم جدا
waad karem,تجربه جميله,5,2025-07-26 05:04:01,positive,تجربه جميله
HR HR,ممتاز,5,2025-07-26 03:59:38,positive,ممتاز
Ali Abo Jack,ممتازه والسائق راقى جدا,5,2025-07-26 03:50:54,positive,ممتازه والسائق راقي جدا
صالح عبده,تطبيق أوبر يُعد من أفضل تطبيقات النقل الذكي، يتميز بسهولة الاستخدام وسرعة الوصول للسائقين. يوفر خدمات آمنة ومتعددة مع خيارات دفع متنوعة، لكن تسعير الرحلات قد يكون مرتفعًا في أوقات الذروة. يعمل بكفاءة في أغلب الدول .,5,2025-07-26 03:41:18,positive,اوبر يعد افضل تطبيقات النقل الذكي، يتميز بسهوله الاستخدام وسرعه الوصول للسائقين يوفر خدمات امنه ومتعدده خيارات دفع متنوعه، تسعير الرحلات يكون مرتفعا اوقات الذروه يعمل بكفاءه اغلب الدول
Sayed Ali,جيده,5,2025-07-26 03:16:33,positive,جيده
Ahmed Noraldin,ممتاز,5,2025-07-26 02:13:57,positive,ممتاز
عماد سعيد فايد,ممتاز,5,2025-07-26 01:38:04,positive,ممتاز
حسن الحربي,رائع,5,2025-07-26 01:36:55,positive,رائع
Ndbdidb Ndbdjjdj,جيد جدا,5,2025-07-25 23:58:24,positive,جيد جدا
mahmoud bob,ممتاز,5,2025-07-25 23:55:54,positive,ممتاز
مؤيد الغباري,ممتاز,5,2025-07-25 23:10:28,positive,ممتاز
بحر الغريب,اوبر جميل جدا,5,2025-07-25 23:09:56,positive,اوبر جميل جدا
Abdullah Almohideef,رائع جدا,5,2025-07-25 22:54:14,positive,رائع جدا
Abdallh Berar56,تجربه ممتازه جدا و الله العظيم ❤️,5,2025-07-25 22:21:43,positive,تجربه ممتازه جدا الله العظيم
طلال الحجري,جميل,5,2025-07-25 22:08:51,positive,جميل
ahmed ibrahem,برنامج ممتاز,5,2025-07-25 21:39:31,positive,ممتاز
Ayman Afife,جود,4,2025-07-25 20:56:37,positive,جود
Abdelmonem Hosny,جيده,5,2025-07-25 20:53:45,positive,جيده
xp y,ممتاز,4,2025-07-25 20:39:14,positive,ممتاز
محمد العيسوي,ممتاز,5,2025-07-25 20:38:10,positive,ممتاز
إيمان,ممتازه,5,2025-07-25 20:23:00,positive,ممتازه
Google أمن,تطبيق ممتاز جدا جدا,5,2025-07-25 20:13:01,positive,ممتاز جدا جدا
Lord Omar,ممتازة,5,2025-07-25 19:53:28,positive,ممتازه
محمد جاد,جيد جدا,5,2025-07-25 19:13:19,positive,جيد جدا
Ahmed Kilani,ممتاز جدا,5,2025-07-25 19:05:29,positive,ممتاز جدا
Firas Fahmi,تبارك الرحمن من أفضل التطبيقات,5,2025-07-25 18:58:45,positive,تبارك الرحمن افضل التطبيقات
Adam Amr,حلو,5,2025-07-25 18:58:26,positive,حلو
fares khalifa,جميله,5,2025-07-25 18:48:24,positive,جميله
Zozo Zozo,جيد جدا جدا,5,2025-07-25 18:31:20,positive,جيد جدا جدا
Ahmed Khaled,روعة,5,2025-07-25 18:16:24,positive,روعه
BU_MIRA HH,تاخير كثير,2,2025-07-25 18:02:56,negative,تاخير كثير
Abdo Mh,ممتاز,5,2025-07-25 18:02:04,positive,ممتاز
Ali Ahmed,ممتاز,5,2025-07-25 17:57:53,positive,ممتاز
Said Baskota,رائع,5,2025-07-25 17:43:21,positive,رائع
sabah zahran,تجربة جيدة توجد بعض المشاكل التقنية زى انى الاقى السائق يسألني عن وجهتى بالرغم من انى بكون محددة الوجهة واحيانا بيرفض المشوار والموقع قام بتغريمى بالرغم من انى مش انا اللى رفضت الطلب ودفعونى فلوس بالفعل فى المشوار اللاحق ..,3,2025-07-25 16:56:01,neutral,تجربه جيده توجد المشاكل التقنيه زي اني الاقي السائق يسالني وجهتي بالرغم اني بكون محدده الوجهه واحيانا بيرفض المشوار والموقع بتغريمي بالرغم اني مش اللي رفضت الطلب ودفعوني فلوس بالفعل المشوار اللاحق
Khaled Gomaa,سائق محترم وسياره نظيفه,5,2025-07-25 16:55:51,positive,سائق محترم وسياره نظيفه
One day,جميل جدا,5,2025-07-25 16:49:12,positive,جميل جدا
نسيبة احمد,تطبيق راااااائع وآمن 😍😍,5,2025-07-25 16:27:14,positive,راااااائع وامن
AKARM SHARMAN,جميل جدا ويستحق اكثر من ٥ نجمات بصراحه,5,2025-07-25 16:16:46,positive,جميل جدا ويستحق اكثر نجمات بصراحه
Eman Hassen,ممتازه,5,2025-07-25 15:39:04,positive,ممتازه
Dodo Tawfek,التطبيق جميل جدا جدا,5,2025-07-25 14:57:15,positive,التطبيق جميل جدا جدا
سليمان احمد,جيد,5,2025-07-25 14:46:21,positive,جيد
Marah Jaar,جميل,5,2025-07-25 14:29:50,positive,جميل
Fadi Yanal,الاجره على الفيزا غير النقد ... مبلغ مبالغ فيه دون اشعارك بذلك,1,2025-07-25 14:25:47,negative,الاجره الفيزا النقد مبلغ مبالغ اشعارك بذلك
Momo Mom,تطبيق سيئ جدا أصبح تدفع أكثر من المتفق عليه,1,2025-07-25 14:11:17,negative,سيئ جدا اصبح تدفع اكثر المتفق
برو مكس,برنامج ممتاز,5,2025-07-25 13:55:37,positive,ممتاز
ayman fragg,يرجى متابعة للكابتن...بعضهم... يتعمد .. بفرض ..غرامه ..علي العميل..للاستفاده من رسوم الغرامه .. بدون وجه حق ويدعي أنه وصل للعميل والعميل لم يصل ولكنه للأسف لم يتحرك من مكانه وهذا تكرر معي كثيراً جداً جداً برجاء الاهتمام بهذا,5,2025-07-25 13:43:39,positive,يرجي متابعه للكابتن بعضهم يتعمد بفرض غرامه العميل للاستفاده رسوم الغرامه بدون وجه حق ويدعي انه وصل للعميل والعميل يصل ولكنه للاسف يتحرك مكانه وهذا تكرر معي جدا جدا برجاء الاهتمام بهذا
morsal shabibi,راااااائع,5,2025-07-25 13:32:06,positive,راااااائع
Hossam Hafeyz,good,5,2025-07-25 13:31:28,positive,
زياد زيد ابوحليقه,قوه القوه,5,2025-07-25 13:06:41,positive,قوه القوه
Faisal ahmad,خدمة الدعم لاتتساعد معك .لقد فقدت غرض مهم بأحد الرحلات واخبرتهم بالمشكلة واخبرو السائق بالغرض المفقود وانكر وجوده .وانا متأكد انه سقط بالسيارة..واحتمال كبير انه يكون تحت الكراسي...لكنه لم يبحث جيدا ..واخبروهم ان يعطونني رقم التواصل للسائق. .ورفضو بسبب الخصوصية!! وهم لا يتساعدون معك بشكل ايجابي لحل المشكلة..,3,2025-07-25 12:42:26,neutral,خدمه الدعم لاتتساعد معك لقد فقدت غرض مهم باحد الرحلات واخبرتهم بالمشكله واخبرو السائق بالغرض المفقود وانكر وجوده وانا متاكد انه سقط بالسياره واحتمال كبير انه يكون الكراسي لكنه يبحث جيدا واخبروهم ان يعطونني رقم التواصل للسائق ورفضو بسبب الخصوصيه وهم يتساعدون معك بشكل ايجابي لحل المشكله
Mohamed Hany,الكابتن زباله وتأخير,1,2025-07-25 12:02:56,negative,الكابتن زباله وتاخير
سميرة ناصر,خدماتكم رائعه شكرا,5,2025-07-25 11:46:48,positive,خدماتكم رائعه شكرا
شريف ابوحمدى,جيد,3,2025-07-25 11:32:19,neutral,جيد
رعد العواصف,جيد جداً,5,2025-07-25 11:21:53,positive,جيد جدا
Ali Samara,بعد التجربة تبين ان تطبيق اوبر من افضل التطبيقات الموجودة في الاردن شكرا لكم والاجرة مقبولة بالمقارنة مع التطبيقات الاخرى,5,2025-07-25 11:20:54,positive,التجربه تبين ان اوبر افضل التطبيقات الموجوده الاردن شكرا والاجره مقبوله بالمقارنه التطبيقات الاخري
Al L,ممتاز,5,2025-07-25 11:02:10,positive,ممتاز
amro elsesy,ممتاذ فى الاستجابة أو الأسعار,5,2025-07-25 10:57:33,positive,ممتاذ الاستجابه الاسعار
Alaa Elsayed,جيده جدا,5,2025-07-25 10:57:05,positive,جيده جدا
NAMAR ALREADAH NAMAR ALREADAH,ممتاز الله يوفقه,5,2025-07-25 09:44:07,positive,ممتاز الله يوفقه
Qusai Al amaerah,المواقع بدها تحديث لانو في شوارع مسكره,4,2025-07-25 09:43:28,positive,المواقع بدها تحديث لانو شوارع مسكره
Kk Kkjjnfm,احسنن تطبيق في الحياه,5,2025-07-25 09:26:34,positive,احسنن الحياه
Khaldoun Abooumara,ممتاز,1,2025-07-25 09:13:42,negative,ممتاز
محمد فريد,ممتاز,5,2025-07-25 09:12:40,positive,ممتاز
هشام العبادي,تطبيق كويس جدا بس للاسف في سواقين بعد ما بتتفق معاك تلغي الرحله بس هو تطبيق كويس,5,2025-07-25 08:56:17,positive,كويس جدا للاسف سواقين بتتفق معاك تلغي الرحله كويس
Wael WAEL,اوبر السعوديه للاسف تطلب يتكنسل مشوارك عشرين مره ليه لن الي طالب رجال والساق للاسف عايز حريم يوصل فقط واذا جاك وشافك يقول مايركب اجانب,1,2025-07-25 08:52:47,negative,اوبر السعوديه للاسف تطلب يتكنسل مشوارك مره ليه الي طالب رجال والساق للاسف عايز حريم يوصل فقط واذا جاك وشافك يقول مايركب اجانب
Gamal Kabasy,ممتازة,5,2025-07-25 08:17:25,positive,ممتازه
اميرة حسن,very good,5,2025-07-25 08:17:23,positive,
Ahmed Elghany,غالي جدا,3,2025-07-25 07:47:59,neutral,غالي جدا
